Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
1,1 1 4 6,4.4,99.20%,4.67,1.48
2,1 1 11 11,4.41,99.60%,4.68,1.45
3,1 1 3 8,4.45,99.20%,4.69,1.48
4,1 1 1 8,4.48,98.80%,4.66,1.25
5,6 6 6 6,4.59,99.40%,4.82,1.49
6,1 1 2 12,4.63,99.10%,4.95,1.57
7,1 2 2 6,4.8,99.20%,5.16,1.61
8,1 1 10 12,4.81,99%,5.06,1.54
9,2 2 10 10,4.85,98.20%,5.13,1.63
10,1 1 1 12,4.86,99.20%,5.18,1.63
11,1 1 2 8,4.96,97.80%,5.31,1.76
12,1 1 4 8,4.99,98.10%,5.35,1.83
13,1 1 5 8,5,96.40%,5.36,1.81
14,4 6 11 11,5,98.90%,5.38,1.73
15,1 1 3 12,5.02,97.30%,5.36,1.84
16,2 2 2 12,5.02,99.10%,5.37,1.7
17,1 1 4 12,5.03,97.40%,5.45,1.85
18,1 1 12 12,5.03,99.40%,5.4,1.66
19,3 3 3 8,5.04,98%,5.4,1.8
20,1 1 2 6,5.09,98.40%,5.4,1.61
21,1 1 2 11,5.09,98.90%,5.41,1.7
22,1 2 3 4,5.1,99%,5.46,1.85
23,11 11 12 12,5.1,98.70%,5.5,1.87
